trip_id,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,user_id,trip_cancelled,flight_spend_before_discount_usd,fare_per_seat_usd
101486-1015905607d74b15954bfd4ac7029ef3,TCM,edmonton,YED,1,True,2023-06-10 10:00:00,2023-06-14 10:00:00,0,United Airlines,53.667,-113.467,189.91,101486,False,189.91,189.91
101961-19f641633ebc442799662326f0b4dfa0,BOS,new york,LGA,1,True,2023-05-05 11:00:00,2023-05-09 11:00:00,0,Allegiant Air,40.64,-73.779,49.67,101961,False,49.67,49.67
101961-29a8ff7c9910469c959fffa60215cf78,BOS,montreal,YHU,1,True,2023-02-08 07:00:00,2023-02-13 07:00:00,1,United Airlines,45.517,-73.417,77.02,101961,False,77.02,77.02
101961-836fd88487d240baa4402c8e4c6f188c,BOS,seattle,BFI,1,True,2023-03-16 07:00:00,2023-03-21 07:00:00,1,Kenmore Air,47.53,-122.302,769.5,101961,False,769.5,769.5
101961-c4c922fbc83342779565d249ee5e6bf7,BOS,charlotte,CLT,1,True,2023-06-27 11:00:00,2023-07-05 11:00:00,0,JetBlue Airways,35.214,-80.943,216.57,101961,False,216.57,216.57
101961-f92e8fdfcdb14e188f296cce3a092e5b,BOS,hamilton,HLZ,1,True,2023-03-04 07:00:00,2023-03-06 07:00:00,0,Air New Zealand,43.173,-79.935,129.9,101961,False,129.9,129.9
106907-718c9cf6c29245fa9b2b31893833ac2c,TNT,durban,DUR,6,True,2024-01-16 15:00:00,2024-01-29 15:00:00,5,Air Mauritius,-29.97,30.95,13902.06,106907,True,13902.06,2317.0099999999998
118043-8007f41e31224235a9bb934ad0e612c7,LAX,new york,LGA,1,True,2023-03-31 13:00:00,2023-04-10 13:00:00,1,Delta Air Lines,40.64,-73.779,727.68,118043,False,727.68,727.68
118043-f5803cf1538948efaa4c708650f57316,LAX,houston,HOU,3,True,2023-03-05 07:00:00,2023-03-06 07:00:00,1,Southwest Airlines,29.607,-95.159,1175.66,118043,False,1175.66,391.8866666666667
118043-f7b09b9e95ce49758d091176d944df52,LAX,el paso,BIF,2,True,2023-07-01 14:00:00,2023-07-04 14:00:00,1,American Airlines,31.849,-106.38,435.95,118043,False,435.95,217.975
120851-c3a8efaebb624ff193beed133c44931f,SNA,edmonton,YXD,1,True,2023-04-15 07:00:00,2023-04-27 07:00:00,0,Delta Air Lines,53.667,-113.467,384.68,120851,False,384.68,384.68
125845-26e90f5623864471be6aed403b56fdd9,BIF,ottawa,YOW,1,True,2023-05-25 14:00:00,2023-05-30 14:00:00,0,WestJet,45.323,-75.669,499.4,125845,False,499.4,499.4
125845-6f3076cc632544c7a454719f861bb2a9,BIF,indianapolis,IND,2,True,2023-02-12 07:00:00,2023-02-14 07:00:00,1,AirTran Airways,39.717,-86.294,710.38,125845,False,710.38,355.19
125845-7d3e3ffbcc8049009e67b8162ecc4b09,BIF,new york,LGA,1,True,2023-06-13 15:00:00,2023-06-16 15:00:00,1,Delta Air Lines,40.64,-73.779,543.54,125845,False,543.54,543.54
133058-0906823d0fce465fa9fce160fd20a7a5,AUS,montreal,YHU,1,True,2023-04-02 14:00:00,2023-04-06 14:00:00,0,United Airlines,45.517,-73.417,423.51,133058,False,423.51,423.51
