"trip_id","hotel_name","nights","rooms","check_in_time","check_out_time","hotel_per_room_usd"
"101486-1015905607d74b15954bfd4ac7029ef3","Crowne Plaza - edmonton","3","1","2023-06-10 13:12:24.03","2023-06-14 11:00:00","253"
"101486-6759c5dd49a1457d916bb2bbf48c3115","Banyan Tree  - montreal","5","2","2023-06-24 11:00:00","2023-06-29 11:00:00","144"
"101961-19f641633ebc442799662326f0b4dfa0","Conrad  - new york","3","1","2023-05-05 13:22:30.72","2023-05-09 11:00:00","165"
"101961-29a8ff7c9910469c959fffa60215cf78","Rosewood - montreal","4","1","2023-02-08 09:30:00.99","2023-02-12 11:00:00","197"
"101961-836fd88487d240baa4402c8e4c6f188c","Extended Stay  - seattle","4","1","2023-03-16 14:00:14.67","2023-03-21 11:00:00","132"
"101961-c4c922fbc83342779565d249ee5e6bf7","Banyan Tree  - charlotte","7","1","2023-06-27 14:27:47.97","2023-07-05 11:00:00","72"
"101961-f92e8fdfcdb14e188f296cce3a092e5b","Accor - hamilton","1","1","2023-03-04 09:55:03.495","2023-03-05 11:00:00","114"
"106907-718c9cf6c29245fa9b2b31893833ac2c","Shangri-La - durban","11","3","2024-01-17 09:45:10.44","2024-01-28 11:00:00","129"
"118043-3148ad84821c481f81764ed8643adbbf","Fairmont - new york","8","1","2023-07-19 11:00:00","2023-07-27 11:00:00","177"
"118043-6fcf9e95e2a940fc88b1a79356f4a6b9","Aman Resorts - jacksonville","5","1","2023-02-15 11:00:00","2023-02-20 11:00:00","99"
"118043-8007f41e31224235a9bb934ad0e612c7","Fairmont - new york","8","1","2023-03-31 19:58:03.945","2023-04-09 11:00:00","439"
"118043-f7b09b9e95ce49758d091176d944df52","Fairmont - el paso","1","2","2023-07-01 17:25:57.63","2023-07-03 11:00:00","194"
"120851-c3a8efaebb624ff193beed133c44931f","Best Western - edmonton","11","1","2023-04-15 11:48:44.235","2023-04-26 11:00:00","182"
"125845-26e90f5623864471be6aed403b56fdd9","Four Seasons - ottawa","3","1","2023-05-25 19:47:34.26","2023-05-29 11:00:00","61"
"125845-6f3076cc632544c7a454719f861bb2a9","Four Seasons - indianapolis","1","2","2023-02-12 11:30:26.37","2023-02-13 11:00:00","196"
"125845-7d3e3ffbcc8049009e67b8162ecc4b09","Hilton - new york","1","1","2023-06-13 20:49:39.9","2023-06-15 11:00:00","114"
"149058-0562d645484d450b8908ae40825aaf46","Accor - los angeles","0","1","2023-01-09 15:38:38.175","2023-01-10 11:00:00","206"
"149058-2373ccda96844915a89d20eca33b2bec","Shangri-La - san antonio","2","1","2023-03-19 13:28:29.28","2023-03-22 11:00:00","120"
"149058-4948c2bf41744fa7a4ef4970a2d00e10","InterContinental  - new york","6","2","2023-02-23 19:44:22.11","2023-03-02 11:00:00","58"
"149058-74e8d20dfe8e46beadee4495c248f210","Fairmont - austin","7","1","2023-04-20 12:22:12.315","2023-04-28 11:00:00","51"
"149058-e23eb6b663ff404f8775d22ddbf8df94","NH Hotel  - calgary","10","1","2023-01-31 21:40:35.085","2023-02-11 11:00:00","408"
"152583-13d70f8ee2ca41c6a49ae3ec2e36a852","Radisson  - toronto","2","1","2023-06-14 18:43:24.555","2023-06-17 11:00:00","213"
"153982-0b0c5d9f587d4e3bb8360b41d96a4890","Hyatt - new york","1","1","2023-02-24 14:43:43.365","2023-02-26 11:00:00","121"
"153982-a950760d74854416b1c854d58999f039","Banyan Tree  - baltimore","2","1","2023-07-31 13:42:34.02","2023-08-03 11:00:00","60"
"153982-f2187763b9a242f3b923b32ff0e3c7ab","Wyndham - calgary","1","1","2023-05-25 20:22:16.95","2023-05-27 11:00:00","440"
"160754-aae2d0adf0024b27a3249d53ba42918c","Fairmont - ottawa","2","1","2023-07-08 16:39:27.54","2023-07-11 11:00:00","214"
"164522-cfc23c8020cd4637b310a1f99dde08b0","Fairmont - new york","13","1","2023-02-17 19:13:57.315","2023-03-03 11:00:00","233"
"174997-8e29b10835bf45be9e29def0e050632f","Marriott  - los angeles","2","1","2023-02-06 14:45:45.63","2023-02-09 11:00:00","136"
"174997-bb786d84df2e45c18644c5e98ad9863a","Conrad  - chicago","2","1","2023-03-14 11:16:29.91","2023-03-16 11:00:00","88"
"175032-6bfef29e936140d8b1046e25e814e826","Rosewood - memphis","1","1","2023-05-13 09:56:35.34","2023-05-14 11:00:00","182"
"175032-96dd58c8e7fc45a2aae26df4b3069506","Conrad  - edmonton","8","2","2023-07-31 11:00:00","2023-08-08 11:00:00","151"
"175032-d828723bb52a4f558d3ecc9123248b24","Shangri-La - las vegas","4","3","2023-03-12 11:27:14.04","2023-03-16 11:00:00","84"
"181157-41b92f311649499a84c7c0b2de125c52","Radisson  - oklahoma city","1","1","2023-03-22 09:50:38.13","2023-03-23 11:00:00","219"
"181157-4a83fa4f56da482886b9f342587ccaad","Radisson  - los angeles","2","1","2023-04-03 15:47:25.755","2023-04-06 11:00:00","104"
"181157-9d86219fb6574ef291b265f78e291c04","Crowne Plaza - oklahoma city","7","4","2023-01-16 09:50:38.13","2023-01-23 11:00:00","164"
"187212-86cfe034180e467f960a33c6042d391e","Extended Stay  - new york","1","1","2023-01-16 13:58:03.945","2023-01-18 11:00:00","87"
"187212-ec2aeb37588f4e55a656bce91d862d4d","Banyan Tree  - winnipeg","4","1","2023-03-11 18:07:24.15","2023-03-16 11:00:00","84"
"187212-fd70ca21a2ed45a7ad8962104bd8eef3","Conrad  - san francisco","1","1","2023-01-27 12:40:44.535","2023-01-29 11:00:00","481"
"189676-68cf410283804144a151c5f367b71d5a","Choice Hotels - new york","13","1","2023-02-04 11:00:00","2023-02-17 11:00:00","207"
"189676-d82f8d64d6934020a5b88f5e53625b0b","Starwood  - san jose","5","3","2023-05-08 12:51:20.475","2023-05-14 11:00:00","154"
"190866-01ce76bc015142ba8465f9b64661d16b","NH Hotel  - portland","1","1","2023-02-24 13:37:59.52","2023-02-26 11:00:00","234"
"190866-31bac5592ab34ca79d205067a26f9fd3","Four Seasons - jacksonville","1","1","2023-04-26 17:19:09.345","2023-04-28 11:00:00","285"
"190866-39f7fdf3561541bd990b5bca9c8c18d1","Fairmont - toronto","0","1","2023-03-28 15:57:01.26","2023-03-29 11:00:00","137"
"190866-7c8104b4b7c746cc9e9e11c02721f5f3","Fairmont - denver","6","1","2023-01-17 18:38:55.05","2023-01-24 11:00:00","130"
"190866-8aa5d82d788441fdbc8ce8046118b5f7","InterContinental  - portland","1","1","2023-07-12 18:37:59.52","2023-07-14 11:00:00","60"
